stable_id	pinyin	chinese	frequency	translation	part_of_speech	domain	style
slang.meme.eat_ones_words	da lian	打脸	986500	to eat one's words; be proven wrong	verb	internet	slang
slang.social.watch_drama	chi gua	吃瓜	986400	watch the drama; follow the gossip	verb	internet	slang
slang.social.onlookers	chi gua qun zhong	吃瓜群众	986300	onlookers following the drama	person	internet	slang
slang.social.gather_to_watch	wei guan	围观	986200	watch the drama; gather to watch	verb	internet	slang
slang.social.stir_things_up	dai jie zou	带节奏	986100	stir things up; push a narrative	verb	internet	slang
slang.social.chase_clout	ceng re du	蹭热度	986000	chase clout; ride a trend	verb	internet	slang
slang.social.keyboard_warrior	jian pan xia	键盘侠	985900	keyboard warrior	person	internet	slang
slang.social.contrarian_troll	gang jing	杠精	985800	contrarian troll	person	internet	slang
slang.social.humblebrag	fan er sai	凡尔赛	985700	to humblebrag; a humblebrag	verb	internet	slang
slang.social.armchair_player	yun wan jia	云玩家	985600	armchair player; someone who pretends to know the game	person	internet	slang
slang.social.socially_mortifying	she si	社死	985500	socially mortifying; social death	noun	internet	slang
slang.social.socially_anxious	she kong	社恐	985400	socially anxious	adjective	internet	slang
slang.social.extrovert	she niu	社牛	985300	extremely outgoing person	person	internet	slang
slang.social.shipping_them	ke dao le	磕到了	985200	I'm shipping them; I love this pairing.	phrase	internet	slang
slang.social.amazing_dated	jue jue zi	绝绝子	985100	Amazing! (dated slang)	phrase	internet	slang
slang.life.lie_flat	tang ping	躺平	985000	lie flat; opt out of the rat race	verb	internet	slang
slang.life.give_up	bai lan	摆烂	984900	give up and let things fall apart	verb	internet	slang
slang.life.rat_race	nei juan	内卷	984800	involution; cutthroat competition	noun	internet	slang
slang.shopping.recommend	an li	安利	984700	strongly recommend	verb	internet	slang
slang.shopping.influence_purchase	zhong cao	种草	984600	make someone want to buy something	verb	internet	slang
slang.shopping.remove_wishlist	ba cao	拔草	984500	lose interest; remove something from one's wishlist	verb	internet	slang
slang.shopping.broke	chi tu	吃土	984400	be broke after overspending	verb	internet	slang
slang.shopping.splurge	duo shou	剁手	984300	splurge on online shopping	verb	internet	slang
slang.failure.backfire	fan che	翻车	984200	backfire; go badly wrong	verb	internet	slang
slang.failure.celebrity_scandal	ta fang	塌房	984100	a celebrity scandal; a public image collapsing	noun	internet	slang
slang.finance.exploit	ge jiu cai	割韭菜	984000	exploit retail investors or consumers	verb	internet	slang
slang.finance.exploited_investor	jiu cai	韭菜	983900	an exploited retail investor or consumer	person	internet	slang
slang.video.tldr	sheng liu	省流	983800	TL;DR; save you the time or data	noun	internet	slang
slang.video.ask_summary	qiu ke dai biao	求课代表	983700	Can someone summarize this?	phrase	internet	slang
slang.video.intense_ahead	qian fang gao neng	前方高能	983600	Intense moment ahead.	phrase	internet	slang
slang.video.add_insult	bu dao	补刀	983500	add insult to injury; finish someone off	verb	internet	slang
slang.video.savage_finish	shen bu dao	神补刀	983400	What a savage finishing blow.	phrase	internet	slang
slang.positive.hardcore	ying he	硬核	983300	hardcore; highly skilled	adjective	internet	slang
slang.positive.heartwarming	zhi yu	治愈	983200	heartwarming; healing	adjective	internet	slang
